unique_id,bank_account
uniqueid_6056xKenya,0
uniqueid_6060xKenya,0
uniqueid_6065xKenya,1
uniqueid_6072xKenya,1
uniqueid_6073xKenya,1
uniqueid_6074xKenya,1
uniqueid_6075xKenya,1
uniqueid_6076xKenya,0
uniqueid_6077xKenya,1
uniqueid_6078xKenya,0
uniqueid_6079xKenya,1
uniqueid_6080xKenya,1
uniqueid_6081xKenya,1
uniqueid_6082xKenya,1
uniqueid_6083xKenya,1
uniqueid_6084xKenya,1
uniqueid_6085xKenya,0
uniqueid_6086xKenya,1
uniqueid_6087xKenya,1
uniqueid_6088xKenya,1
uniqueid_6089xKenya,1
uniqueid_6090xKenya,1
uniqueid_6091xKenya,1
uniqueid_6092xKenya,1
uniqueid_6093xKenya,1
uniqueid_6094xKenya,1
uniqueid_6095xKenya,1
uniqueid_6096xKenya,1
uniqueid_6097xKenya,1
uniqueid_6098xKenya,1
uniqueid_6099xKenya,1
uniqueid_6100xKenya,1
uniqueid_6101xKenya,1
uniqueid_6102xKenya,1
uniqueid_6103xKenya,1
uniqueid_6104xKenya,0
uniqueid_6105xKenya,1
uniqueid_6106xKenya,0
uniqueid_6107xKenya,1
uniqueid_6108xKenya,1
uniqueid_6109xKenya,1
uniqueid_6110xKenya,0
uniqueid_6111xKenya,1
uniqueid_6112xKenya,1
uniqueid_6113xKenya,1
uniqueid_6114xKenya,1
uniqueid_6115xKenya,1
uniqueid_6116xKenya,1
uniqueid_6117xKenya,1
uniqueid_6118xKenya,1
uniqueid_6119xKenya,1
uniqueid_6120xKenya,1
uniqueid_6121xKenya,0
uniqueid_6122xKenya,1
uniqueid_6123xKenya,1
uniqueid_6124xKenya,1
uniqueid_6125xKenya,1
uniqueid_6126xKenya,1
uniqueid_6127xKenya,1
uniqueid_6128xKenya,1
uniqueid_6129xKenya,1
uniqueid_6130xKenya,1
uniqueid_6131xKenya,1
uniqueid_6132xKenya,1
uniqueid_6133xKenya,1
uniqueid_6134xKenya,1
uniqueid_6135xKenya,1
uniqueid_6136xKenya,1
uniqueid_6137xKenya,1
uniqueid_6138xKenya,1
uniqueid_6139xKenya,1
uniqueid_6140xKenya,1
uniqueid_6141xKenya,1
uniqueid_6142xKenya,1
uniqueid_6143xKenya,1
uniqueid_6144xKenya,1
uniqueid_6145xKenya,1
uniqueid_6146xKenya,1
uniqueid_6147xKenya,1
uniqueid_6148xKenya,1
uniqueid_6149xKenya,1
uniqueid_6150xKenya,1
uniqueid_6151xKenya,1
uniqueid_6152xKenya,1
uniqueid_6153xKenya,1
uniqueid_6154xKenya,0
uniqueid_6155xKenya,1
uniqueid_6156xKenya,0
uniqueid_6157xKenya,1
uniqueid_6158xKenya,1
uniqueid_6159xKenya,1
uniqueid_6160xKenya,1
uniqueid_6161xKenya,1
uniqueid_6162xKenya,1
uniqueid_6163xKenya,1
uniqueid_6164xKenya,1
uniqueid_6165xKenya,1
uniqueid_6166xKenya,1
uniqueid_6167xKenya,1
uniqueid_6168xKenya,0
uniqueid_6169xKenya,1
uniqueid_6170xKenya,0
uniqueid_6171xKenya,1
uniqueid_6172xKenya,1
uniqueid_6173xKenya,1
uniqueid_6174xKenya,1
uniqueid_6175xKenya,1
uniqueid_6176xKenya,1
uniqueid_6177xKenya,0
uniqueid_6178xKenya,1
uniqueid_6179xKenya,1
uniqueid_6180xKenya,1
uniqueid_6181xKenya,1
uniqueid_6182xKenya,1
uniqueid_6183xKenya,1
uniqueid_6184xKenya,0
uniqueid_6185xKenya,1
uniqueid_6186xKenya,1
uniqueid_6187xKenya,1
uniqueid_6188xKenya,1
uniqueid_6189xKenya,1
uniqueid_6190xKenya,1
uniqueid_6191xKenya,1
uniqueid_6192xKenya,1
uniqueid_6193xKenya,1
uniqueid_6194xKenya,0
uniqueid_6195xKenya,1
uniqueid_6196xKenya,1
uniqueid_6197xKenya,1
uniqueid_6198xKenya,0
uniqueid_6199xKenya,1
uniqueid_6200xKenya,1
uniqueid_6201xKenya,1
uniqueid_6202xKenya,1
uniqueid_6203xKenya,1
uniqueid_6204xKenya,1
uniqueid_6205xKenya,1
uniqueid_6206xKenya,1
uniqueid_6207xKenya,1
uniqueid_6208xKenya,1
uniqueid_6209xKenya,1
uniqueid_6210xKenya,1
uniqueid_6211xKenya,1
uniqueid_6212xKenya,1
uniqueid_6213xKenya,1
uniqueid_6214xKenya,1
uniqueid_6215xKenya,1
uniqueid_6216xKenya,1
uniqueid_6217xKenya,1
uniqueid_6218xKenya,0
uniqueid_6219xKenya,1
uniqueid_6220xKenya,1
uniqueid_6221xKenya,1
uniqueid_6222xKenya,1
uniqueid_6223xKenya,1
uniqueid_6224xKenya,0
uniqueid_6225xKenya,1
uniqueid_6226xKenya,1
uniqueid_6227xKenya,1
uniqueid_6228xKenya,0
uniqueid_6229xKenya,1
uniqueid_6230xKenya,1
uniqueid_6231xKenya,1
uniqueid_6232xKenya,1
uniqueid_6233xKenya,1
uniqueid_6234xKenya,0
uniqueid_6235xKenya,1
uniqueid_6236xKenya,0
uniqueid_6237xKenya,1
uniqueid_6238xKenya,1
uniqueid_6239xKenya,1
uniqueid_6240xKenya,0
uniqueid_6241xKenya,1
uniqueid_6242xKenya,0
uniqueid_6243xKenya,1
uniqueid_6244xKenya,0
uniqueid_6245xKenya,1
uniqueid_6246xKenya,1
uniqueid_6247xKenya,1
uniqueid_6248xKenya,1
uniqueid_6249xKenya,1
uniqueid_6250xKenya,1
uniqueid_6251xKenya,0
uniqueid_6252xKenya,0
uniqueid_6253xKenya,1
uniqueid_6254xKenya,1
uniqueid_6255xKenya,0
uniqueid_6256xKenya,0
uniqueid_6257xKenya,1
uniqueid_6258xKenya,1
uniqueid_6259xKenya,1
uniqueid_6260xKenya,1
uniqueid_6261xKenya,1
uniqueid_6262xKenya,1
uniqueid_6263xKenya,1
uniqueid_6264xKenya,1
uniqueid_6265xKenya,1
uniqueid_6266xKenya,1
uniqueid_6267xKenya,0
uniqueid_6268xKenya,1
uniqueid_6269xKenya,1
uniqueid_6270xKenya,1
uniqueid_6271xKenya,1
uniqueid_6272xKenya,1
uniqueid_6273xKenya,1
uniqueid_6274xKenya,1
uniqueid_6275xKenya,1
uniqueid_6276xKenya,1
uniqueid_6277xKenya,1
uniqueid_6278xKenya,1
uniqueid_6279xKenya,1
uniqueid_6280xKenya,1
uniqueid_6281xKenya,1
uniqueid_6282xKenya,1
uniqueid_6283xKenya,1
uniqueid_6284xKenya,1
uniqueid_6285xKenya,1
uniqueid_6286xKenya,1
uniqueid_6287xKenya,1
uniqueid_6288xKenya,1
uniqueid_6289xKenya,1
uniqueid_6290xKenya,1
uniqueid_6291xKenya,1
uniqueid_6292xKenya,1
uniqueid_6293xKenya,1
uniqueid_6294xKenya,1
uniqueid_6295xKenya,0
uniqueid_6296xKenya,1
uniqueid_6297xKenya,1
uniqueid_6298xKenya,1
uniqueid_6299xKenya,1
uniqueid_6300xKenya,1
uniqueid_6301xKenya,1
uniqueid_6302xKenya,1
uniqueid_6303xKenya,1
uniqueid_6304xKenya,1
uniqueid_6305xKenya,0
uniqueid_6306xKenya,0
uniqueid_6307xKenya,1
uniqueid_6308xKenya,1
uniqueid_6309xKenya,1
uniqueid_6310xKenya,1
uniqueid_6311xKenya,1
uniqueid_6312xKenya,1
uniqueid_6313xKenya,1
uniqueid_6314xKenya,1
uniqueid_6315xKenya,1
uniqueid_6316xKenya,0
uniqueid_6317xKenya,1
uniqueid_6318xKenya,1
uniqueid_6319xKenya,0
uniqueid_6320xKenya,1
uniqueid_6321xKenya,1
uniqueid_6322xKenya,1
uniqueid_6323xKenya,1
uniqueid_6324xKenya,1
uniqueid_6325xKenya,1
uniqueid_6326xKenya,0
uniqueid_6327xKenya,0
uniqueid_6328xKenya,0
uniqueid_6329xKenya,1
uniqueid_6330xKenya,1
uniqueid_6331xKenya,1
uniqueid_6332xKenya,1
uniqueid_6333xKenya,1
uniqueid_6334xKenya,1
uniqueid_6335xKenya,1
uniqueid_6336xKenya,1
uniqueid_6337xKenya,1
uniqueid_6338xKenya,1
uniqueid_6339xKenya,0
uniqueid_6340xKenya,1
uniqueid_6341xKenya,0
uniqueid_6342xKenya,1
uniqueid_6343xKenya,1
uniqueid_6344xKenya,1
uniqueid_6345xKenya,1
uniqueid_6346xKenya,1
uniqueid_6347xKenya,1
uniqueid_6348xKenya,1
uniqueid_6349xKenya,1
uniqueid_6350xKenya,1
uniqueid_6351xKenya,1
uniqueid_6352xKenya,1
uniqueid_6353xKenya,1
uniqueid_6354xKenya,1
uniqueid_6355xKenya,1
uniqueid_6356xKenya,1
uniqueid_6357xKenya,1
uniqueid_6358xKenya,1
uniqueid_6359xKenya,1
uniqueid_6360xKenya,1
uniqueid_6361xKenya,1
uniqueid_6362xKenya,1
uniqueid_6363xKenya,1
uniqueid_6364xKenya,0
uniqueid_6365xKenya,1
uniqueid_6366xKenya,1
uniqueid_6367xKenya,0
uniqueid_6368xKenya,1
uniqueid_6369xKenya,1
uniqueid_6370xKenya,1
uniqueid_6371xKenya,1
uniqueid_6372xKenya,1
uniqueid_6373xKenya,1
uniqueid_6374xKenya,0
uniqueid_6375xKenya,1
uniqueid_6376xKenya,1
uniqueid_6377xKenya,1
uniqueid_6378xKenya,1
uniqueid_6379xKenya,1
uniqueid_6380xKenya,1
uniqueid_6381xKenya,0
uniqueid_6382xKenya,1
uniqueid_6383xKenya,1
uniqueid_6384xKenya,1
uniqueid_6385xKenya,0
uniqueid_6386xKenya,1
uniqueid_6387xKenya,1
uniqueid_6388xKenya,1
uniqueid_6389xKenya,1
uniqueid_6390xKenya,1
uniqueid_6391xKenya,1
uniqueid_6392xKenya,1
uniqueid_6393xKenya,1
uniqueid_6394xKenya,1
uniqueid_6395xKenya,1
uniqueid_6396xKenya,0
uniqueid_6397xKenya,1
uniqueid_6398xKenya,1
uniqueid_6399xKenya,1
uniqueid_6400xKenya,1
uniqueid_6401xKenya,1
uniqueid_6402xKenya,1
uniqueid_6403xKenya,1
uniqueid_6404xKenya,1
uniqueid_6405xKenya,1
uniqueid_6406xKenya,1
uniqueid_6407xKenya,0
uniqueid_6408xKenya,1
uniqueid_6409xKenya,1
uniqueid_6410xKenya,1
uniqueid_6411xKenya,1
uniqueid_6412xKenya,1
uniqueid_6413xKenya,1
uniqueid_6414xKenya,1
uniqueid_6415xKenya,0
uniqueid_6416xKenya,1
uniqueid_6417xKenya,1
uniqueid_6418xKenya,0
uniqueid_6419xKenya,1
uniqueid_6420xKenya,1
uniqueid_6421xKenya,1
uniqueid_6422xKenya,1
uniqueid_6423xKenya,1
uniqueid_6424xKenya,1
uniqueid_6425xKenya,1
uniqueid_6426xKenya,1
uniqueid_6427xKenya,1
uniqueid_6428xKenya,1
uniqueid_6429xKenya,1
uniqueid_6430xKenya,1
uniqueid_6431xKenya,1
uniqueid_6432xKenya,1
uniqueid_6433xKenya,1
uniqueid_6434xKenya,1
uniqueid_6435xKenya,1
uniqueid_6436xKenya,1
uniqueid_6437xKenya,1
uniqueid_6438xKenya,1
uniqueid_6439xKenya,1
uniqueid_6440xKenya,1
uniqueid_6441xKenya,1
uniqueid_6442xKenya,1
uniqueid_6443xKenya,1
uniqueid_6444xKenya,0
uniqueid_6445xKenya,1
uniqueid_6446xKenya,1
uniqueid_6447xKenya,1
uniqueid_6448xKenya,1
uniqueid_6449xKenya,1
uniqueid_6450xKenya,1
uniqueid_6451xKenya,1
uniqueid_6452xKenya,0
uniqueid_6453xKenya,0
uniqueid_6454xKenya,1
uniqueid_6455xKenya,1
uniqueid_6456xKenya,1
uniqueid_6457xKenya,0
uniqueid_6458xKenya,1
uniqueid_6459xKenya,1
uniqueid_6460xKenya,0
uniqueid_6461xKenya,1
uniqueid_6462xKenya,1
uniqueid_6463xKenya,1
uniqueid_6464xKenya,1
uniqueid_6465xKenya,1
uniqueid_6466xKenya,0
uniqueid_6467xKenya,1
uniqueid_6468xKenya,0
uniqueid_6469xKenya,0
uniqueid_6470xKenya,1
uniqueid_6471xKenya,1
uniqueid_6472xKenya,1
uniqueid_6473xKenya,1
uniqueid_6474xKenya,0
uniqueid_6475xKenya,1
uniqueid_6476xKenya,1
uniqueid_6477xKenya,1
uniqueid_6478xKenya,1
uniqueid_6479xKenya,1
uniqueid_6480xKenya,1
uniqueid_6481xKenya,1
uniqueid_6482xKenya,1
uniqueid_6483xKenya,1
uniqueid_6484xKenya,1
uniqueid_6485xKenya,0
uniqueid_6486xKenya,0
uniqueid_6487xKenya,0
uniqueid_6488xKenya,1
uniqueid_6489xKenya,0
uniqueid_6490xKenya,1
uniqueid_6491xKenya,1
uniqueid_6492xKenya,1
uniqueid_6493xKenya,1
uniqueid_6494xKenya,1
uniqueid_6495xKenya,1
uniqueid_6496xKenya,0
uniqueid_6497xKenya,1
uniqueid_6498xKenya,1
uniqueid_6499xKenya,1
uniqueid_6500xKenya,1
uniqueid_6501xKenya,1
uniqueid_6502xKenya,1
uniqueid_6503xKenya,0
uniqueid_6504xKenya,1
uniqueid_6505xKenya,1
uniqueid_6506xKenya,1
uniqueid_6507xKenya,0
uniqueid_6508xKenya,1
uniqueid_6509xKenya,0
uniqueid_6510xKenya,1
uniqueid_6511xKenya,1
uniqueid_6512xKenya,1
uniqueid_6513xKenya,1
uniqueid_6514xKenya,0
uniqueid_6515xKenya,1
uniqueid_6516xKenya,0
uniqueid_6517xKenya,1
uniqueid_6518xKenya,1
uniqueid_6519xKenya,1
uniqueid_6520xKenya,1
uniqueid_6521xKenya,1
uniqueid_6522xKenya,1
uniqueid_6523xKenya,1
uniqueid_6524xKenya,0
uniqueid_6525xKenya,0
uniqueid_6526xKenya,1
uniqueid_6527xKenya,1
uniqueid_6528xKenya,1
uniqueid_6529xKenya,1
uniqueid_6530xKenya,1
uniqueid_6531xKenya,1
uniqueid_6532xKenya,1
uniqueid_6533xKenya,1
uniqueid_6534xKenya,1
uniqueid_6535xKenya,1
uniqueid_6536xKenya,1
uniqueid_6537xKenya,1
uniqueid_6538xKenya,1
uniqueid_6539xKenya,1
uniqueid_6540xKenya,0
uniqueid_6541xKenya,1
uniqueid_6542xKenya,1
uniqueid_6543xKenya,1
uniqueid_6544xKenya,0
uniqueid_6545xKenya,1
uniqueid_6546xKenya,0
uniqueid_6547xKenya,1
uniqueid_6548xKenya,1
uniqueid_6549xKenya,0
uniqueid_6550xKenya,1
uniqueid_6551xKenya,1
uniqueid_6552xKenya,1
uniqueid_6553xKenya,1
uniqueid_6554xKenya,1
uniqueid_6555xKenya,1
uniqueid_6556xKenya,1
uniqueid_6557xKenya,1
uniqueid_6558xKenya,1
uniqueid_6559xKenya,1
uniqueid_6560xKenya,0
uniqueid_6561xKenya,1
uniqueid_6562xKenya,1
uniqueid_6563xKenya,1
uniqueid_6564xKenya,0
uniqueid_6565xKenya,1
uniqueid_6566xKenya,1
uniqueid_6567xKenya,0
uniqueid_6568xKenya,1
uniqueid_6569xKenya,1
